rte_brch_st_id|rte_brch_id|key_cd|val|ver_nbr|
2074.0|2071.0|System.PostProcessorProcessed|true|2.0|
2075.0|2071.0|System.PostProcessorFinal|true|1.0|
2103.0|2100.0|System.PostProcessorProcessed|true|2.0|
2104.0|2100.0|System.PostProcessorFinal|true|1.0|
2167.0|2164.0|System.PostProcessorProcessed|true|2.0|
2168.0|2164.0|System.PostProcessorFinal|true|1.0|
2175.0|2169.0|System.PostProcessorProcessed|true|1.0|
2223.0|2220.0|System.PostProcessorProcessed|true|2.0|
2224.0|2220.0|System.PostProcessorFinal|true|1.0|
2265.0|2262.0|System.PostProcessorProcessed|true|2.0|
2266.0|2262.0|System.PostProcessorFinal|true|1.0|
2270.0|2267.0|System.PostProcessorProcessed|true|2.0|
2271.0|2267.0|System.PostProcessorFinal|true|1.0|
2323.0|2320.0|System.PostProcessorProcessed|true|2.0|
2324.0|2320.0|System.PostProcessorFinal|true|1.0|
2450.0|2448.0|System.PostProcessorProcessed|true|2.0|
2451.0|2448.0|System.PostProcessorFinal|true|1.0|
2474.0|2472.0|System.PostProcessorProcessed|true|2.0|
2475.0|2472.0|System.PostProcessorFinal|true|1.0|
2481.0|2479.0|System.PostProcessorProcessed|true|2.0|
2482.0|2479.0|System.PostProcessorFinal|true|1.0|
2530.0|2524.0|System.PostProcessorProcessed|true|1.0|
2533.0|2531.0|System.PostProcessorProcessed|true|2.0|
2534.0|2531.0|System.PostProcessorFinal|true|1.0|
2543.0|2535.0|System.PostProcessorProcessed|true|1.0|
2548.0|2546.0|System.PostProcessorProcessed|true|2.0|
2549.0|2546.0|System.PostProcessorFinal|true|1.0|
2636.0|2630.0|System.PostProcessorProcessed|true|1.0|
2643.0|2637.0|System.PostProcessorProcessed|true|1.0|
2650.0|2644.0|System.PostProcessorProcessed|true|1.0|
2671.0|2665.0|System.PostProcessorProcessed|true|1.0|
2690.0|2684.0|System.PostProcessorProcessed|true|1.0|
2806.0|2800.0|System.PostProcessorProcessed|true|1.0|
2880.0|2874.0|System.PostProcessorProcessed|true|1.0|
2887.0|2885.0|System.PostProcessorProcessed|true|2.0|
2888.0|2885.0|System.PostProcessorFinal|true|1.0|
